"A block identifier with the same properties already exists in the selected store.","塊識別符號已在選定的儲存中存在相同的屬性"
"A directory with the same name already exists. Please try another folder name.","相同名稱的目錄已經存在。請另外嘗試"
"A page URL key for specified store already exists.","指定的商店的網址代碼已經存在"
"Action","操作"
"Add New Block","新增區塊"
"Add New Page","新增頁面"
"All Countries","所有國家"
"An error occurred while saving the page.","儲存頁面時發生錯誤"
"Anchor Custom Text","自錨點文字"
"Anchor Custom Title","錨點自訂標題"
"Are you sure you want to delete current folder?","您確定要刪除目前資料夾?"
"Are you sure you want to delete the selected file?","您確定要刪除選定的檔案?"
"Block","區塊"
"Block Information","區塊資訊"
"Block Title","區塊標題"
"CMS","靜態網頁"
"CMS Content Wrapper","CMS 內容包裝"
"CMS Home Page","CMS 首頁"
"CMS No Cookies Page","CMS 不支援Cookie頁面"
"CMS No Route Page","CMS 缺失頁面"
"CMS No-Route Page","CMS No-Route 頁面"
"CMS Page","CMS 頁"
"CMS Page Link","CMS 頁面連結"
"CMS Page Link Block Template","CMS 頁面連結塊樣板"
"CMS Page Link Inline Template","CMS 頁面文內樣板"
"CMS Pages (All)","CMS 頁面 (所有)"
"CMS Static Block","CMS 靜態區塊"
"CMS Static Block Default Template","CMS 靜態區塊預設樣板"
"Cannot create new directory.","不能建立新目錄"
"Cannot delete directory %s.","無法刪除目錄 %s"
"Cannot delete root directory %s.","不能刪除根目錄 %s"
"Cannot upload file.","不能上傳檔案"
"Collapse All","關閉所有"
"Content","內容"
"Content Heading","標題內容"
"Content Management","靜態網頁管理"
"Contents of a Static Block","內容靜態區塊"
"Create Folder...","建立資料夾.."
"Custom Design","自訂設計"
"Custom Design From","自訂設計表單"
"Custom Design To","自訂設計到"
"Custom Layout","自訂版面"
"Custom Layout Update XML","更新自訂XML版面"
"Custom Theme","自訂主題"
"Customer Tax Class Information","自訂稅率資訊"
"Date Created","建立日期"
"Delete Block","刪除區塊"
"Delete File","刪除檔案"
"Delete Folder","刪除資料夾"
"Delete Page","刪除頁面"
"Description","描述"
"Design","設計"
"Disabled","關閉"
"Disabled Completely","徹底停用"
"Disabled by Default","預設情況下停用"
"Edit Block","編輯區塊"
"Edit Block '%s'","編輯區塊'%s'"
"Edit Page","編輯頁面"
"Edit Page '%s'","編輯頁面'%s'"
"Enable WYSIWYG Editor","啟用所見即所得編輯器"
"Enabled","啟用"
"Enabled by Default","預設情況下啟用"
"Expand All","全部展開"
"General Information","一般資訊"
"Go to Home Page","轉到首頁"
"Home","首頁"
"ID","編號"
"Identifier","識別符號"
"If empty, the Page Title will be used","如果空白，會使用頁面標題"
"Images (%s)","圖片(%s)個"
"Insert File","插入檔案"
"Invalid folder name. Please, use alphanumeric characters, underscores and dashes.","錯誤的資料夾名. 請使用字母和數字, 底線和破折號"
"Keywords","關鍵字"
"Last Modified","最後編輯"
"Layout","版面"
"Layout Update XML","版面更新XML"
"Link to a CMS Page","連結到一個CMS頁面"
"Manage Pages","管理頁面"
"Media Gallery","媒體庫"
"Media Storage","多媒體儲存"
"Meta Data","後設資料"
"Meta Description","後設描述"
"Meta Keywords","後設關鍵字"
"New Block","新區塊"
"New Folder Name:","新資料夾名:"
"New Page","新頁面"
"No files found","沒有找到資料夾"
"Page Information","頁面資訊"
"Page Layout","頁面版面"
"Page Status","頁面狀態"
"Page Title","頁面標題"
"Pages","頁面"
"Product Tax Class Information","產品稅率資訊"
"Redirect to CMS-page if Cookies are Disabled","如果快取無法使用，引導到CMS-頁"
"Relative to Website Base URL","相對於網站基礎網址"
"Save Block","儲存區塊"
"Save Page","儲存頁面"
"Save Process","儲存操作"
"Select Block...","選擇區塊.."
"Select Page...","選擇網頁.."
"Show Breadcrumbs for CMS Pages","在內容頁顯示樹狀連結"
"Show Notice if JavaScript is Disabled","如果 JavaScript 停用顯示提示"
"Static Blocks","靜態區塊"
"Status","狀態"
"Storage Root","儲存目錄"
"Store View","商店前台"
"Template","樣板"
"The block has been deleted.","區塊刪除了"
"The block has been saved.","區塊儲存了"
"The directory %s is not writable by server.","網頁伺服器無法寫入資料夾 %s"
"The page URL key cannot consist only of numbers.","頁面網址代碼不能夠只使用數字"
"The page URL key contains capital letters or disallowed symbols.","頁面網址代碼包含大寫字母或是禁用的符號"
"The page has been deleted.","頁面已經刪除"
"The page has been saved.","頁面已經儲存"
"The static block content cannot contain  directive with its self.","靜態區塊內容本身不能包含指令"
"This block no longer exists.","這個區塊已經不存在"
"This page no longer exists.","這個頁面已經不存在"
"Title","標題"
"URL Key","網址代碼"
"Unable to find a block to delete.","找不到要刪除的區塊"
"Unable to find a page to delete.","找不到要刪除的頁面"
"WYSIWYG Options","編輯器選項"
"px.","px"
