"'%value%' appears to be a DNS hostname but cannot extract TLD part","'%value%' 是一個 DNS 主機名稱，但是無法解析出 TLD 部份"
"'%value%' appears to be a DNS hostname but cannot match TLD against known list","'%value%' 是一個 DNS 主機名稱，但是使用的 TLD 不在已知清單中"
"'%value%' appears to be a DNS hostname but cannot match against hostname schema for TLD '%tld%'","'%value%' 是一個 DNS 主機名稱，但是無法符合 TLD '%tld%' 主機名稱架構"
"'%value%' appears to be a DNS hostname but contains a dash in an invalid position","'%value%' 是一個 DNS 主機名稱，但是有一個減號出現在錯誤的位置"
"'%value%' appears to be a DNS hostname but the given punycode notation cannot be decoded","'%value%' 是一個 DNS 主機名稱，但是提供的 punycode 符號無法解譯"
"'%value%' appears to be a local network name but local network names are not allowed","'%value%' 是一個本地網路，但是不接受本地網路名稱"
"'%value%' appears to be an IP address, but IP addresses are not allowed","'%value%' 是一個 IP ，但是不接受 IP"
"'%value%' does not appear to be a valid local network name","'%value%' 不是一個正確的本地網路名稱"
"* Required Fields","* 必填欄位"
"ALL GROUPS","所有群組"
"Account Dashboard","首頁"
"Account Information","帳號資訊"
"Account Sharing Options","帳號分享選項"
"Account confirmation is required. Please, check your e-mail for confirmation link. To resend confirmation email please <a href=""%s"">click here</a>.","帳號確認是必要的。請檢查您的確認連結的信件。重新發送確認信件請<a href=""%s"">點選這裡</a>"
"Action","操作"
"Add New Address","新增地址"
"Add New Customer","新增客戶"
"Add New Customer Group","新增客戶群組"
"Added From","加自"
"Additional Address Entries","其他地址"
"Address","地址"
"Address Book","通訊錄"
"Address Books","通訊簿"
"Address Information","地址資訊"
"Address Templates","地址樣板"
"Addresses","地址"
"Admin","管理員"
"All","所有"
"All Store Views","所有商店介面"
"All countries","所有國家"
"Always optional.","一律選填"
"Amount","金額"
"An error occurred while deleting the address.","刪除時發生錯誤的地址"
"An error occurred while retrieving the option value: %s.","檢索時發生了一個錯誤的選擇權價值：%s"
"An error occurred while saving the collection, aborting. Error: %s","儲存時發生錯誤的收集，登出。錯誤：%s"
"An invalid option ID is specified for %s (%s), skipping the record.","%s (%s) 指定的選項 ID 錯誤，略過資料"
"Approved","已通過審核"
"Are you sure that you want to remove this item?","您確認要刪除這個項目嗎？"
"Are you sure you want to cancel adding of this address?","您確認要取消新增該地址嗎？"
"Are you sure you want to delete this address?","您確認要刪除這個地址嗎？"
"Are you sure?","您確定嗎？"
"Array of Entity collections is expected.","需要實體組合的陣列"
"Assign a Customer Group","指定客戶群組"
"Average Sale","平均銷售"
"Back","返回"
"Back - link to the previously viewed page","返回 -連結到以前瀏覽過的頁面"
"Back to Login","返回登入"
"Bad request.","錯誤的請求"
"Based on the VAT ID, the customer would belong to the Customer Group %s.","基於 VAT 編號，這個客戶會歸屬到客戶群組 %s"
"Bill to Name","帳單收件人"
"Bought From","購買自"
"By creating an account with our store, you will be able to move through the checkout process faster, store multiple shipping addresses, view and track your orders in your account and more.","註冊您的帳號，結帳方便迅速，而且可以儲存多個送貨地址、查看訂單狀態等"
"CSV","CSV"
"Cancel","取消"
"Cannot save a new password.","無法儲存新密碼"
"Cannot save address.","無法儲存地址"
"Cannot save the customer.","無法儲存客戶"
"Cannot share customer accounts globally because some customer accounts with the same emails exist on multiple websites and cannot be merged.","客戶帳號無法全域分享，因為部分客戶帳號在在多個網站使用相同的信件，記錄無法合併"
"Change Account Password","編輯帳號密碼"
"Change Billing Address","編輯帳單地址"
"Change Password","編輯密碼"
